iter	Passed	Remaining
1271	413903	1213075
1272	414206	1212683
1273	414520	1212325
1274	414817	1211918
1275	415096	1211456
1276	415370	1210982
1277	415683	1210620
1278	415944	1210109
1279	416250	1209729
1280	416549	1209326
1281	416826	1208862
1282	417113	1208425
1283	417449	1208132
1284	417762	1207772
1285	418058	1207363
1286	418391	1207060
1287	418674	1206615
1288	418973	1206215
1289	419295	1205879
1290	419587	1205461
1291	419901	1205103
1292	420261	1204880
1293	420601	1204597
1294	420928	1204278
1295	421389	1204341
1296	421721	1204037
1297	422044	1203705
1298	422378	1203406
1299	422700	1203070
1300	422989	1202643
1301	423323	1202344
1302	423709	1202191
1303	423996	1201757
1304	424359	1201537
1305	424724	1201326
1306	425066	1201047
1307	425374	1200674
1308	425687	1200315
1309	426019	1200008
1310	426400	1199842
1311	426792	1199702
1312	427187	1199574
1313	427573	1199419
1314	427941	1199212
1315	428294	1198964
1316	428601	1198586
1317	428938	1198293
1318	429247	1197922
1319	429573	1197600
1320	429910	1197304
1321	430261	1197051
1322	430615	1196804
1323	430950	1196505
1324	431252	1196116
1325	431569	1195766
1326	431889	1195425
1327	432221	1195118
1328	432561	1194832
1329	432960	1194711
1330	433301	1194428
1331	433639	1194136
1332	433961	1193800
1333	434232	1193325
1334	434541	1192953
1335	434848	1192578
1336	435174	1192253
1337	435512	1191962
1338	435785	1191494
1339	436138	1191244
1340	436428	1190821
1341	436758	1190509
1342	437077	1190165
1343	437415	1189875
1344	437736	1189535
1345	438049	1189176
1346	438384	1188878
1347	438689	1188496
1348	439027	1188206
1349	439340	1187846
1350	439680	1187559
1351	439986	1187182
1352	440319	1186877
1353	440666	1186610
1354	441027	1186380
1355	441402	1186186
1356	441790	1186029
1357	442140	1185771
1358	442521	1185593
1359	442893	1185390
1360	443210	1185042
1361	443534	1184712
1362	443817	1184274
1363	444131	1183917
1364	444484	1183663
1365	444833	1183399
1366	445182	1183136
1367	445475	1182723
1368	445779	1182341
1369	446099	1182001
1370	446391	1181585
1371	446680	1181164
1372	446976	1180759
1373	447297	1180422
1374	447600	1180038
1375	447913	1179680
1376	448188	1179220
1377	448471	1178784
1378	448766	1178379
1379	449072	1178001
1380	449381	1177633
1381	449741	1177399
1382	450033	1176984
1383	450330	1176585
1384	450653	1176253
1385	451040	1176088
1386	451382	1175806
1387	451713	1175496
1388	452069	1175250
1389	452465	1175108
1390	452773	1174736
1391	453056	1174301
1392	453364	1173929
1393	453679	1173577
1394	454019	1173290
1395	454344	1172964
1396	454687	1172683
1397	455030	1172402
1398	455323	1171993
1399	455645	1171660
1400	455933	1171237
1401	456275	1170954
1402	456593	1170610
1403	456937	1170333
1404	457294	1170087
1405	457658	1169861
1406	457999	1169575
1407	458285	1169149
1408	458591	1168772
1409	458879	1168353
1410	459162	1167920
1411	459503	1167632
1412	459797	1167229
1413	460079	1166793
1414	460410	1166480
1415	460722	1166122
1416	461027	1165745
1417	461330	1165363
1418	461627	1164967
1419	461944	1164620
1420	462258	1164266
1421	462575	1163921
1422	462854	1163478
1423	463157	1163097
1424	463482	1162772
1425	463810	1162454
1426	464116	1162079
1427	464423	1161709
1428	464717	1161304
1429	465045	1160987
1430	465379	1160684
1431	465693	1160331
1432	466021	1160013
1433	466361	1159723
1434	466665	1159346
1435	466964	1158956
1436	467267	1158576
1437	467592	1158250
1438	467892	1157862
1439	468250	1157619
1440	468559	1157254
1441	468849	1156842
1442	469174	1156516
1443	469477	1156137
1444	469798	1155800
1445	470130	1155493
1446	470460	1155180
1447	470783	1154850
1448	471163	1154658
1449	471531	1154440
1450	471875	1154161
1451	472199	1153832
1452	472511	1153473
1453	472828	1153129
1454	473103	1152682
1455	473478	1152478
1456	473748	1152018
1457	474115	1151794
1458	474500	1151614
1459	474835	1151314
1460	475170	1151010
1461	475482	1150655
1462	475778	1150258
1463	476147	1150039
1464	476506	1149795
1465	476898	1149631
1466	477327	1149555
1467	477686	1149310
1468	477995	1148945
1469	478381	1148767
1470	478748	1148540
1471	479094	1148264
1472	479382	1147848
1473	479680	1147457
1474	480014	1147153
1475	480310	1146757
1476	480620	1146396
1477	480940	1146057
1478	481278	1145760
1479	481595	1145417
1480	481915	1145077
1481	482232	1144732
1482	482538	1144362
1483	482875	1144063
1484	483203	1143744
1485	483574	1143526
1486	483917	1143242
1487	484255	1142947
1488	484576	1142610
1489	484970	1142447
1490	485312	1142159
1491	485624	1141803
1492	485935	1141443
1493	486288	1141183
1494	486607	1140841
1495	486934	1140519
