iter	Logloss
1731	0.2352117232
1732	0.2352070984
1733	0.235198724
1734	0.2351965181
1735	0.2351895972
1736	0.2351852317
1737	0.2351842941
1738	0.2351726524
1739	0.2351669733
1740	0.2351640395
1741	0.2351576412
1742	0.2351511773
1743	0.2351443899
1744	0.2351376946
1745	0.2351360278
1746	0.2351276312
1747	0.2351184959
1748	0.235113243
1749	0.2351099756
1750	0.2351068899
1751	0.2350990736
1752	0.2350922272
1753	0.2350875149
1754	0.2350794628
1755	0.2350733211
1756	0.235067228
1757	0.2350592431
1758	0.2350538809
1759	0.2350469448
1760	0.2350417354
1761	0.2350345807
1762	0.2350299534
1763	0.235023075
1764	0.235021696
1765	0.2350156307
1766	0.2350118504
1767	0.2350043112
1768	0.2349998077
1769	0.2349990507
1770	0.2349924552
1771	0.2349840276
1772	0.234977237
1773	0.2349708212
1774	0.2349631326
1775	0.2349564624
1776	0.2349541465
1777	0.2349465
1778	0.2349392619
1779	0.234935921
1780	0.2349272056
1781	0.2349251066
1782	0.2349190879
1783	0.2349094012
1784	0.2349036492
1785	0.2349003647
1786	0.2348976715
1787	0.2348957983
1788	0.234892895
1789	0.2348863439
1790	0.2348785709
1791	0.2348728049
1792	0.2348675869
1793	0.2348645306
1794	0.2348585811
1795	0.2348512762
1796	0.2348428466
1797	0.2348358076
1798	0.2348345286
1799	0.2348309697
1800	0.2348184276
1801	0.2348136551
1802	0.2348049966
1803	0.2347988128
1804	0.2347965944
1805	0.2347951111
1806	0.2347840295
1807	0.2347811492
1808	0.2347727103
1809	0.2347667514
1810	0.2347606011
1811	0.2347583733
1812	0.2347494297
1813	0.2347393459
1814	0.2347323733
1815	0.2347231739
1816	0.2347199428
1817	0.2347164695
1818	0.234711744
1819	0.234707535
1820	0.2347044129
1821	0.2347001209
1822	0.2346941371
1823	0.234685743
1824	0.2346838999
1825	0.2346743827
1826	0.2346696927
1827	0.2346604043
1828	0.2346543038
1829	0.2346472598
1830	0.2346448406
1831	0.2346370406
1832	0.2346319344
1833	0.2346253825
1834	0.2346195765
1835	0.2346146907
1836	0.2346105301
1837	0.2346028171
1838	0.2345991807
1839	0.2345913194
1840	0.2345820093
1841	0.2345741886
1842	0.2345692004
1843	0.2345640276
1844	0.2345601123
1845	0.2345498746
1846	0.2345436953
1847	0.2345363868
1848	0.2345306827
1849	0.2345260751
1850	0.2345185822
1851	0.2345101722
1852	0.2345024091
1853	0.234497016
1854	0.2344917213
1855	0.2344875518
1856	0.2344826471
1857	0.234476792
1858	0.2344702215
1859	0.2344654705
1860	0.2344561419
1861	0.2344530862
1862	0.2344522067
1863	0.2344440465
1864	0.2344423118
1865	0.2344380577
1866	0.2344307389
1867	0.2344294412
1868	0.2344279356
1869	0.2344224451
1870	0.2344119271
1871	0.2344046864
1872	0.2344004631
1873	0.2343939527
1874	0.2343896973
1875	0.234383184
1876	0.234381757
1877	0.2343785044
1878	0.2343702843
1879	0.2343676554
1880	0.234359376
1881	0.2343512081
1882	0.234348268
1883	0.2343451123
1884	0.2343388666
1885	0.2343369846
1886	0.2343296243
1887	0.23432466
1888	0.2343168324
1889	0.2343152184
1890	0.2343102523
1891	0.2343045468
1892	0.2342954871
1893	0.2342883807
1894	0.2342841386
1895	0.2342810892
1896	0.2342700272
1897	0.2342657441
1898	0.2342563258
1899	0.2342538643
1900	0.2342421296
1901	0.2342421247
1902	0.2342365283
1903	0.2342335092
1904	0.2342286759
1905	0.2342261576
1906	0.2342242903
1907	0.2342215653
1908	0.2342143342
1909	0.2342084954
1910	0.2341965975
1911	0.2341893279
1912	0.2341836714
1913	0.2341782444
1914	0.2341748421
1915	0.2341700428
1916	0.2341687294
1917	0.2341617915
1918	0.2341605017
1919	0.2341576692
1920	0.2341500815
1921	0.2341443395
1922	0.2341402682
1923	0.2341280757
1924	0.234123196
1925	0.234114009
1926	0.2341078993
1927	0.2341003768
1928	0.2340971872
1929	0.234088089
1930	0.2340836527
1931	0.2340781235
1932	0.2340705078
1933	0.234063243
1934	0.2340612093
1935	0.2340583049
1936	0.2340552461
1937	0.2340423957
1938	0.2340419087
1939	0.2340355986
1940	0.2340286983
1941	0.2340262338
1942	0.2340254223
1943	0.2340224253
1944	0.2340128126
1945	0.2340018751
1946	0.2339970975
1947	0.2339922767
1948	0.2339868612
1949	0.2339806567
1950	0.2339715305
1951	0.2339627056
1952	0.2339558971
1953	0.2339557737
1954	0.2339505947
1955	0.2339449006
1956	0.233942131
1957	0.2339379946
1958	0.2339366537
1959	0.233933163
1960	0.233926679
1961	0.2339229993
1962	0.2339164702
1963	0.2339110622
1964	0.2339034019
1965	0.2338978054
1966	0.2338898795
1967	0.2338886115
1968	0.2338822837
1969	0.2338816939
1970	0.2338731705
1971	0.2338665849
1972	0.2338543349
1973	0.2338478274
1974	0.2338376001
1975	0.2338336798
1976	0.2338233595
1977	0.2338141214
1978	0.2338063338
1979	0.2337984539
1980	0.2337944097
1981	0.23379179
1982	0.2337855216
1983	0.2337817648
1984	0.2337718589
1985	0.233770078
1986	0.2337600425
1987	0.2337522133
1988	0.2337403115
1989	0.2337312571
1990	0.233721815
1991	0.2337181554
1992	0.2337145378
1993	0.2337048107
1994	0.2336992851
1995	0.2336896679
1996	0.2336835267
1997	0.2336782407
1998	0.2336732493
1999	0.2336644135
2000	0.2336556973
2001	0.2336503214
2002	0.2336465937
2003	0.2336384983
2004	0.2336340775
2005	0.2336327345
2006	0.233629532
2007	0.2336205732
2008	0.2336129346
2009	0.2336054699
2010	0.2336054668
2011	0.2336037425
2012	0.2335960585
2013	0.2335911241
2014	0.2335817591
2015	0.2335715611
2016	0.2335651236
2017	0.233559995
2018	0.2335555394
2019	0.2335488077
2020	0.2335412755
2021	0.2335412685
2022	0.2335382743
2023	0.2335337293
2024	0.2335272086
2025	0.2335228657
2026	0.2335149115
2027	0.2335101581
2028	0.2335072946
2029	0.2335037857
2030	0.2334981753
2031	0.2334914029
2032	0.2334799282
2033	0.2334790275
2034	0.2334710923
2035	0.2334645388
2036	0.233456313
2037	0.2334526543
2038	0.2334512914
2039	0.2334451759
2040	0.2334405925
2041	0.2334353542
2042	0.2334300414
2043	0.2334264639
2044	0.2334213449
2045	0.2334127525
2046	0.2334088241
2047	0.2334066753
2048	0.2333985992
2049	0.2333972886
2050	0.2333923984
2051	0.2333863153
2052	0.233382831
2053	0.2333727202
2054	0.2333705114
2055	0.2333625581
2056	0.2333589965
2057	0.2333571283
2058	0.233350195
2059	0.2333423915
2060	0.233331159
2061	0.2333225145
2062	0.2333207701
2063	0.2333173596
2064	0.2333092223
2065	0.2333008073
2066	0.2332940485
2067	0.2332876721
2068	0.2332840856
2069	0.2332759116
2070	0.2332736139
2071	0.2332688312
2072	0.2332599382
2073	0.2332548788
2074	0.2332501038
2075	0.2332432843
2076	0.2332365149
2077	0.2332350162
2078	0.233226054
2079	0.2332199613
2080	0.2332121494
2081	0.2332079022
2082	0.2332068353
2083	0.2332036979
2084	0.2332024386
2085	0.2331979733
2086	0.2331905495
2087	0.2331876958
2088	0.2331826951
2089	0.2331783515
2090	0.2331739678
2091	0.2331650276
2092	0.233164174
2093	0.2331575199
2094	0.2331507118
2095	0.2331453218
2096	0.2331418122
2097	0.2331364847
2098	0.2331311535
2099	0.2331242028
2100	0.2331178662
2101	0.2331152523
2102	0.2331097654
2103	0.2331044678
2104	0.2330979126
2105	0.2330977498
2106	0.2330933585
2107	0.2330920152
2108	0.233086564
2109	0.2330812942
2110	0.2330788069
2111	0.2330713498
2112	0.2330696338
2113	0.2330645544
2114	0.233057066
2115	0.2330568059
2116	0.2330550898
2117	0.2330485619
2118	0.2330432849
2119	0.2330404429
2120	0.2330328491
2121	0.2330296068
2122	0.2330224173
2123	0.2330131069
2124	0.2330074768
2125	0.2330012814
2126	0.2329949261
2127	0.2329949144
2128	0.2329875231
2129	0.2329812438
2130	0.2329745409
2131	0.2329706685
2132	0.2329692901
2133	0.2329655261
2134	0.2329591151
2135	0.23295595
2136	0.2329537792
2137	0.2329504524
2138	0.2329460864
2139	0.2329405448
2140	0.2329364434
2141	0.2329300168
2142	0.2329282208
2143	0.2329254977
2144	0.2329137872
2145	0.2329080725
2146	0.2329055764
2147	0.2328995195
2148	0.232896147
2149	0.232894668
2150	0.2328898105
2151	0.2328843149
2152	0.2328770682
2153	0.2328680414
2154	0.2328652271
2155	0.2328569101
2156	0.2328541571
2157	0.2328507771
2158	0.2328460182
2159	0.2328420919
2160	0.2328401543
2161	0.2328294057
2162	0.2328216904
2163	0.2328099886
2164	0.2328044303
2165	0.2327969567
2166	0.2327918913
2167	0.232791046
2168	0.232784157
2169	0.2327757055
2170	0.2327730953
2171	0.2327647717
2172	0.2327576705
2173	0.2327510448
2174	0.2327482828
2175	0.2327480545
2176	0.2327414122
2177	0.2327376099
2178	0.2327309075
2179	0.2327288847
2180	0.2327242903
2181	0.2327201992
2182	0.232712269
2183	0.2327056029
2184	0.2327017976
2185	0.2326940379
2186	0.2326888863
2187	0.2326831091
2188	0.232678837
2189	0.232672652
2190	0.2326671182
2191	0.2326640937
2192	0.2326598622
2193	0.2326536675
2194	0.2326467061
2195	0.2326434745
2196	0.232637442
2197	0.2326341927
2198	0.2326340974
2199	0.2326340764
2200	0.2326301247
2201	0.2326225733
2202	0.2326198879
2203	0.2326084633
2204	0.2326040431
2205	0.2325981184
2206	0.2325886482
2207	0.2325823693
2208	0.2325799267
2209	0.2325724351
2210	0.2325684763
2211	0.2325611288
2212	0.2325516975
2213	0.2325445239
2214	0.2325388112
2215	0.2325289005
2216	0.2325223262
2217	0.2325192097
2218	0.2325175629
2219	0.2325135226
2220	0.2325063823
2221	0.2325020323
2222	0.2324973323
2223	0.2324908293
2224	0.2324843723
2225	0.2324815395
2226	0.2324726689
2227	0.2324694
2228	0.232464842
2229	0.2324593439
2230	0.2324558291
2231	0.2324513327
2232	0.2324441406
2233	0.2324392072
2234	0.2324389596
2235	0.2324354133
2236	0.2324278036
2237	0.2324206671
2238	0.2324166431
2239	0.2324126744
2240	0.2324126575
2241	0.23240738
2242	0.2324050521
2243	0.2323989225
2244	0.2323945808
2245	0.2323881618
2246	0.2323879134
2247	0.232380391
2248	0.2323748591
2249	0.2323666397
2250	0.2323627843
2251	0.232358285
2252	0.2323549075
2253	0.2323461713
2254	0.2323418771
2255	0.232338529
2256	0.2323287377
2257	0.2323234694
2258	0.2323164313
2259	0.2323097284
2260	0.2323045483
2261	0.232303731
2262	0.232297972
2263	0.2322916108
2264	0.232287877
2265	0.2322848223
2266	0.2322791414
2267	0.2322784893
2268	0.232273204
2269	0.2322704356
2270	0.2322646149
2271	0.2322566408
2272	0.2322488325
2273	0.232246301
2274	0.232238112
2275	0.2322330963
2276	0.2322284713
2277	0.2322209825
2278	0.2322204285
2279	0.2322151864
2280	0.2322120784
2281	0.2322088957
2282	0.2321980059
2283	0.2321915223
2284	0.2321875144
2285	0.2321838956
2286	0.2321802754
2287	0.2321736781
2288	0.2321710483
2289	0.2321646733
2290	0.2321571181
2291	0.2321504832
2292	0.2321496292
2293	0.2321424399
2294	0.2321349433
2295	0.2321302973
2296	0.2321185285
2297	0.232117926
2298	0.2321126117
2299	0.23210861
2300	0.2321035451
2301	0.2321010135
2302	0.2320971551
2303	0.2320877577
2304	0.2320834656
2305	0.2320803659
2306	0.2320742971
2307	0.2320689866
2308	0.2320586754
2309	0.23205393
2310	0.232049745
2311	0.2320449145
2312	0.2320384696
2313	0.2320286633
2314	0.2320247949
2315	0.2320208709
2316	0.2320149187
2317	0.2320092351
2318	0.2320089243
2319	0.232002317
2320	0.2320011624
2321	0.2319972121
2322	0.231996608
2323	0.2319955518
2324	0.2319921232
2325	0.2319909459
2326	0.2319872076
2327	0.2319826076
2328	0.2319820946
2329	0.2319759061
2330	0.2319695037
2331	0.2319625402
2332	0.23196251
2333	0.2319609091
2334	0.2319608943
2335	0.2319577436
2336	0.2319571555
2337	0.2319559353
2338	0.2319476958
2339	0.231940682
2340	0.2319330831
2341	0.2319304353
2342	0.2319253089
2343	0.231922434
2344	0.2319181747
2345	0.2319168564
2346	0.2319145556
2347	0.2319072316
2348	0.231903255
2349	0.2318950117
2350	0.2318900375
2351	0.231885654
2352	0.2318788587
2353	0.2318726129
2354	0.231871538
2355	0.2318677812
2356	0.231861452
2357	0.2318576832
2358	0.2318544902
2359	0.2318503999
2360	0.2318454882
2361	0.2318407851
2362	0.2318377017
2363	0.2318341588
